"label","text"
"02257","I caught a clown fish! How many can fit in a carfish?"
"02263","I caught a puffer fish! I thought you would be tougher, fish!"
"02258","I caught a surgeonfish! Scalpel! Forceps! Fish hook!"
"02264","I caught a horse mackerel! Of course, Macknernel."
"02270","&lt;&#x1;&#x6;&#x8;	 "
"02259","I caught a butterfly fish! Did it change from a caterpillar fish?"
"02265","I caught a barred knifejaw! They must have a hard time eating!"
"02271","I caught a moray eel! When you're in love, that's a moray!"
"001","Yes!"
"02266","I caught a sea bass! No, wait—it's at least a C+!"
"02272","I caught a ribbon eel! Can it tie itself into a bow?"
"002","Wait a minute. That meansn"
"02267","I caught a red snapper! It looks pretty dapper!"
"02273","I caught a football fish! Some countries call it a soccer fish!"
"003","WOO-HOO!!! I've caught ALL of the fish! You'd think I'd have a pun for this occasion"
"02268","I caught a dab! Not bad!"
"02274","I caught a tuna! It's a little off-key!"
"02280","I caught a great white shark! Watch out for its jaws!"
"010","I caught a squid! It's off the hook!"
"02269","I caught an olive flounder! That's not the pits!"
"02275","I caught a blue marlin! Listen to this fish. It's got a point."
"02281","I caught a saw shark! You could call it a sea saw!"
"005","&lt;&#x6;&#x6;&#x6;&#x6;&#x7;&#x7;"
"011","I caught a loach! It'snlooking at me with reproach."
"02276","I caught a giant trevally! Yeah, I'm pretty well-trevalled."
"02282","ÈThar she blows! I caught a whale shark! I'm tellin' ya, it was thiiiiiiiiiiiiiiiiiiiis big!"
"04201","I caught an anchovy! Stay away from my pizza!"
"006","I caught a soft-shelled turtle! I should take a shellfie!"
"02277","I caught a ray! A few more and I'll have a tan!"
"02283","I caught an oarfish! I hope I catch morefish!"
"04202","I caught a mahi-mahi! It's all mahine-mahine."
"007","I caught a soft-shelled turtle! It's more sensitive than other turtles."
"02278","I caught an ocean sunfish! Good thing I'm wearing ocean sunscreen!"
"02284","ÈBlast from the past! I caught a coelacanth! Think positive! Be a coela-CAN!"
"04203","I caught a suckerfish! I thought it was a shark! Oh, wait—now I get it. \"Sucker\""
"008","I caught a squid! Do theynnot actually ""bloop""?"
"02279","I caught a hammerhead shark! I hit the nail on the head!"
"04204","I caught a barreleye! Like eyeing fish in a barrel!"
"Ore_02502","I caught a stone! Now it's all minen ral!"
"009","I caught a squid! I had an inkling I might!"
"00328","I caught a crucian carp! My skills are sharp!"
"00329","I caught a goldfish! It's worth its weight in fish!"
"04190","I caught a tilapia! It makes me happy-a!"
"04191","I caught a betta! I betta not drop it!"
"04192","I caught a snapping turtle! How can it snap without fingers?"
"04193","I caught a golden trout! But the real treasure? Friendship."
"04194","I caught a rainbowfish! Where's my pot of goldfish?"
"04189","I caught a sturgeon! Wonder if it can perform sturgery..."
"02220","I caught a koi! I don't know why it's so shyn or such a bad spellern"
"02215","I caught a bitterling! It's mad at me, but only a little."
"02221","I got a pop-eyed goldfish! It looks so...surprised!"
"02216","I caught a pale chub! That name seems a bit judgyn"
"02222","I caught a killifish! The streams are safe again."
"02217","I caught a dace! Hope I have some space!"
"02223","I caught a crawfish! Or else it's a lobster, and I'm a giant!"
"Trash_03470","I caught an old tire! I sure am tired of that!"
"02224","&lt;&#x8;&#x5;&#x6;&#x6;&#x6;&#x6;&#x6;&#x5;"
"02219","I caught a carp! If I catch another they can carpool!"
"02225","I caught a tadpolen It's just a tad small."
"02231","I caught a giant snakehead! Umnbut I asked for a medium?"
"Trash_03466","I caught an empty can! Aren't you supposed to catch the fish before you can it?"
"02226","I caught a frog! Or it's a new neighbornand I have some apologizing to do."
"02232","I caught a bluegill! Do you think it calls me ""pinklung""?"
"02227","I caught a freshwater goby! Time to go bye-bye!"
"02233","I caught a yellow perch! Those yellow birds have to sit somewhere!"
"05254","I caught a ranchu goldfish! But I prefer balsamicu goldfish!"
"02228","I caught a loach! It'snlooking at me with reproach."
"02234","I caught a black bass! The most metal of all fish!"
"Trash_03469","I caught a boot! It, uh, wasn't made for swimming."
"02229","I caught a catfish! I'm more of a dogfish personn"
"02235","I caught a pike! Think a swordfish would be up for a duel?"
"02241","ÈOH MY GOSH! I caught a stringfish! Five more and I'll have a guitarfish!"
"02236","I caught a pond smelt! Whoever smelt it dealt it!"
"02242","I caught a salmon! It's all upstream from here!"
"02237","I caught a sweetfish! Hope it's not artificially sweet!"
"02243","WOO-HOO! I caught a king salmon!Checkmate!"
"02238","I caught a cherry salmon! It's the perfect topper for a marlin sundae!"
"02244","I caught a mitten crab! One more and I'm ready for winter!"
"02250","I caught an arowana! I'd make a joke, but I don't 'wana."
"02239","I caught a char! Now I'm gonna sit on it!"
"02245","I caught a guppy! Welcome to the team, newbie!"
"02251","I caught a dorado! I say ""dorado,"" you say ""doraydo."""
"02246","I caught a nibble fish! Come to think of it, I could use a bite!"
"02252","I caught a gar! Yar! It's a gar! Har har!"
"02247","I caught an angelfish! That other fish told me to do it!"
"02253","I caught an arapaima! How did it get here? Arapaiknow!"
"02248","I caught a neon tetra! Wasn't hard to track."
"02254","Wow! A saddled bichir! And me without my tiny riding crop..."
"02260","I caught a Napoleonfish! It's not as big as it thinks!"
"02249","I caught a piranha! Sure hope it was the only one!"
"02255","I caught a sea butterfly! Try not to confuse it for a sea moth!"
"02261","I caught a zebra turkeyfish! Land, air, water—make up your mind!"
"02256","I caught a sea horse! Butnwhere's its sea jockey?"
"02262","I caught a blowfish! I'm blown away!"
